user_id,subgroup
5c6e7a8d6d180f002084a746,3 40 7 5 66 51 6 72 59 23 19 50 71 34 25 39 38 61 4 73 53 65 1 13 8 36 33 77 29 37 55 78 83 69 85 15 32 64 57 35 60 70 67 79 27 56 24 22 54 62
5e11926d54511e0d1440d024,4 5 3 27 40 13 23 6 8 59 51 71 7 9 24 1 55 25 36 28 15 61 19 73 50 89 72 69 66 79 85 29 77 34 37 70 53 33 46 45 60 39 38 14 20 83 67 64 16 32
59a1bbeb3ba5a507005d94bf,3 5 8 59 51 7 71 40 6 4 66 37 1 35 23 36 83 69 61 72 50 33 57 85 70 55 29 28 25 34 64 32 45 19 53 39 38 77 15 73 13 24 60 65 79 62 78 67 14 76
5a11254d516eb50051f99473,51 59 40 71 7 66 3 72 50 8 5 61 37 83 69 1 23 6 55 65 29 4 85 19 36 70 35 53 73 64 57 15 13 33 34 39 78 25 60 56 79 38 28 24 45 62 77 16 14 54
56702e0f13ef621200899d90,5 3 40 4 25 7 6 19 23 59 73 77 71 36 51 34 13 53 1 72 39 8 50 33 66 38 27 61 89 55 29 60 15 78 37 69 85 24 79 32 28 67 9 30 70 22 64 20 83 21
5aa795b871c70c001e28f2a9,59 51 71 40 7 37 8 66 3 50 83 1 72 85 57 55 29 19 5 61 4 35 15 69 6 73 23 13 36 53 65 33 64 70 28 62 56 24 34 60 79 25 38 32 39 14 54 78 77 27
5dc9632b31ab600020684cb3,33 76 64 75 57 69 59 51 71 63 8 37 40 32 83 7 1 35 55 61 66 50 85 3 52 70 13 72 29 36 34 6 4 15 81 5 58 19 68 23 80 79 73 53 28 54 39 60 41 21
603a408fedddaa46e5e847c0,5 3 4 7 6 25 34 71 23 59 38 39 40 36 8 33 51 77 1 32 61 55 13 66 72 74 69 27 50 24 85 29 37 70 28 60 83 19 67 78 53 79 64 89 15 45 35 73 57 21
5b41c29cbc0cfe001ecd42a8,3 40 5 59 7 51 71 66 72 23 6 50 4 61 37 19 1 69 83 8 36 55 73 25 65 85 29 64 53 39 34 13 33 57 77 38 35 15 70 78 60 79 27 24 32 28 56 62 54 76
6118d79bc367dc00060594ef,51 59 66 72 71 50 40 3 7 61 55 37 5 65 83 1 8 23 4 29 6 69 36 85 64 13 70 19 53 35 57 15 73 34 78 56 79 33 39 38 24 62 27 60 9 16 25 45 28 54
5d9189c2a7e8fe0020d81039,3 5 40 7 6 23 59 51 71 4 8 25 34 66 19 39 50 72 38 36 77 61 73 1 69 33 37 53 13 29 70 55 83 85 15 64 78 65 60 32 35 28 27 67 57 79 45 24 9 56
5b4d802ece476c001e4a92bf,5 4 3 40 59 7 8 6 25 51 23 36 71 55 1 73 19 15 77 72 50 85 53 66 61 69 29 13 24 70 37 27 60 34 79 28 83 33 62 20 89 9 64 45 39 65 49 35 78 38
568cdb6fe8ff9b20003d00ed,5 4 3 6 36 40 25 7 23 59 8 71 51 77 1 13 19 61 34 50 73 55 72 69 66 33 53 27 38 39 24 85 15 70 28 37 20 29 60 64 79 89 78 83 67 32 45 9 35 22
57870425d0c3030700414d39,5 3 4 6 59 7 71 36 25 23 51 40 33 34 77 38 1 39 8 32 69 61 64 55 66 37 85 72 70 50 13 83 24 60 29 28 57 27 79 76 15 74 35 19 53 67 73 78 75 20
58123bc6e6fe960700e102b6,5 4 8 3 59 40 51 71 36 7 6 33 28 69 1 70 13 23 25 61 55 64 37 66 50 24 85 72 32 45 29 77 34 57 27 35 79 60 73 53 15 83 19 89 39 20 76 9 38 14
57317210fad4ef0a006aef34,59 51 71 7 66 8 37 3 83 40 50 57 72 35 1 61 29 55 5 85 4 6 69 36 23 65 15 13 34 64 33 70 38 39 19 62 53 78 28 32 60 24 73 25 54 79 56 77 14 81
571c171c234ded0a00a42d25,3 59 7 51 71 66 34 38 39 23 40 6 5 72 50 61 8 37 83 1 33 4 36 29 65 25 57 55 69 85 35 77 32 78 54 15 64 19 13 53 67 70 60 62 79 73 27 24 41 28
5a220d1ca6d4a5001ec316a4,25 3 7 5 6 34 39 59 23 40 38 77 19 71 51 33 4 53 66 36 32 1 50 72 8 73 37 15 13 55 60 83 29 61 78 67 85 35 57 64 69 74 30 89 54 76 79 65 70 62
5741ce66fad4ef0a006bd851,51 4 59 8 71 7 3 5 1 55 40 66 37 85 50 6 29 23 61 83 72 36 24 13 35 69 57 28 70 15 65 27 60 62 45 34 25 33 79 14 38 64 77 19 53 39 9 73 56 16
60348943e950ee4623b5bf87,8 51 55 59 71 1 69 13 4 40 70 7 61 50 85 29 15 72 83 66 37 3 64 5 35 24 23 28 6 79 16 65 36 14 57 45 73 19 53 27 56 60 9 49 62 84 33 21 46 76
5ef2d87e0be54018a7bcdab0,5 59 35 3 7 51 71 4 8 37 57 6 40 83 1 36 29 69 66 23 15 25 85 28 61 33 64 55 50 13 72 77 70 53 32 24 34 62 39 60 27 73 45 38 19 78 79 65 81 76
5ef142e0b93e46e8668cc638,5 13 4 3 40 55 8 1 59 71 15 36 51 27 21 7 6 25 73 89 69 19 79 72 53 9 61 23 70 28 49 85 60 77 24 50 66 46 14 30 29 20 45 64 37 35 33 16 34 26
603231d4bf9554f2a0f3fc8a,34 3 39 38 7 59 23 5 71 6 51 40 33 8 66 25 4 36 32 61 50 1 77 72 37 29 83 69 85 55 78 57 67 35 65 54 19 13 53 60 64 28 15 41 74 73 70 52 24 27
5a7c4db81a0d09001ee03a35,3 34 39 5 38 7 59 6 71 23 33 40 51 4 25 32 36 8 66 77 1 69 61 55 50 37 29 72 83 85 64 13 57 70 67 60 35 28 15 78 58 27 74 54 79 41 73 19 24 52
5bbe0a3c3617e7001e562a28,8 59 51 71 37 69 83 7 57 35 64 1 85 70 33 40 29 55 61 15 66 4 50 3 28 72 36 76 13 6 5 32 75 23 63 24 81 79 52 60 14 19 65 34 45 73 53 54 16 62
60cf0704ad1a3c42aab8f51d,40 3 19 7 66 5 51 72 34 59 50 71 23 6 39 25 38 73 61 33 4 53 13 1 8 37 29 36 77 55 65 32 83 78 69 57 64 85 15 70 35 67 79 60 27 41 76 24 56 54
5eaf743f3e47cffda3221a7d,8 59 69 51 33 57 71 37 83 35 70 64 7 1 76 85 32 55 40 29 75 61 28 4 36 66 15 3 50 13 72 6 63 52 5 23 81 34 58 21 24 45 79 60 14 39 68 53 41 54
60cf3e396e549d1efce05b95,8 51 59 71 7 66 69 37 83 50 72 70 40 61 3 55 1 35 85 29 57 4 6 64 36 5 65 23 15 13 33 28 45 53 79 60 34 19 24 16 56 14 39 76 73 38 32 78 62 54
58b012045c4e6507007c4ff0,5 3 4 25 7 40 6 23 59 77 36 71 51 34 19 39 38 66 1 8 50 72 73 53 13 61 33 27 37 29 78 85 69 15 60 55 24 67 83 32 79 89 28 35 64 70 57 65 20 22
5e9feed3735b0173dfccac85,5 4 3 8 59 40 69 51 6 71 7 70 36 23 1 55 64 28 25 61 85 13 72 50 66 37 15 24 33 29 45 73 77 53 83 35 19 60 27 79 34 57 20 9 39 76 62 32 49 38
60d016e1f5d14a31f55ec6dc,40 3 51 59 7 72 19 50 71 66 5 61 8 69 4 55 23 1 6 64 73 37 70 33 36 13 29 53 83 85 25 34 65 39 15 57 35 32 77 79 38 75 76 60 56 78 28 45 24 41
5ab7463ddc2ab6001e26771b,3 7 5 51 59 66 23 40 71 6 4 72 50 34 61 39 38 36 1 8 55 37 69 25 65 29 83 33 85 77 78 13 70 64 19 57 35 53 27 15 32 79 60 24 67 45 73 54 9 28
54ef354db839040f0001608b,5 25 3 4 36 77 59 6 40 71 7 19 30 33 23 51 49 8 21 34 1 13 53 60 74 32 39 72 55 73 61 38 85 66 89 79 37 50 64 15 26 69 29 70 24 83 20 28 27 62
5fa5f6ab0c79eefbbd8bade3,13 4 40 5 15 8 73 19 59 1 55 51 3 71 72 7 50 53 27 89 66 61 69 9 28 85 29 24 6 36 70 23 79 46 25 37 14 64 83 57 60 16 33 35 56 21 65 45 49 77
5b8e8a35de22ba001ee7af15,4 27 5 3 13 59 51 40 1 6 71 23 9 7 8 15 24 55 36 89 25 29 79 28 61 77 69 33 46 14 34 85 72 37 66 73 19 45 50 39 60 70 16 83 53 38 64 21 32 35
59e87f43ef1581001e5c9a96,3 51 7 59 71 40 5 66 6 23 4 72 50 34 1 61 37 39 8 36 83 38 29 55 25 19 33 85 57 65 13 69 35 77 73 53 32 78 64 15 60 70 79 28 24 27 67 54 62 56
6018fcfd699913c0c3c25432,13 8 4 69 59 1 27 15 55 70 51 71 40 5 28 24 9 64 79 29 61 85 37 7 3 14 45 16 72 50 6 89 23 35 83 36 46 66 57 33 21 49 47 84 60 73 76 53 19 63
5ea04ffb735b01937cccf0e9,59 51 71 37 8 83 57 7 35 69 1 85 29 64 40 15 55 33 61 66 72 50 70 3 13 4 6 28 36 5 32 76 75 23 81 63 62 79 19 24 60 65 34 52 73 39 14 54 53 56
55f10bf48b6cae0f00ac8882,59 71 51 3 7 5 4 66 6 40 1 37 23 34 36 50 72 8 61 39 83 25 85 38 29 33 55 57 77 35 13 65 69 19 32 60 15 78 64 24 62 27 54 53 73 67 28 79 70 21
