user_id,subgroup
5f1dc5a3afdc0537b5de8979,69 59 51 64 71 37 83 7 57 61 8 40 66 50 1 72 70 76 35 33 85 55 75 29 63 3 13 15 36 6 19 5 4 23 53 32 73 65 79 52 34 81 28 39 60 56 38 54 14 24
5f432175a32a53813a24e1a5,5 4 3 40 51 50 59 71 66 7 72 6 23 55 1 13 61 27 8 36 29 69 19 65 85 9 37 24 25 73 15 83 53 70 79 64 34 77 39 78 60 33 16 38 56 35 45 28 57 46
5a93a2b844a1e4001eee7a26,40 59 51 66 71 50 7 72 69 61 3 37 64 33 19 57 83 1 55 8 73 6 5 23 29 85 34 36 4 75 76 53 13 70 32 35 65 39 38 15 63 25 79 52 60 54 56 77 41 78
617ec17d1a87ca000710ce8f,4 5 3 51 59 71 55 7 40 1 23 36 6 27 50 66 72 8 25 61 29 13 85 24 37 77 15 9 65 69 79 83 34 60 19 73 53 78 62 39 38 70 28 20 35 56 16 33 14 67
614c3233e64756000603277d,8 33 59 57 69 64 71 76 51 37 32 75 83 35 7 1 40 70 28 85 63 52 55 29 61 4 3 66 36 15 50 13 58 81 72 6 5 68 24 34 23 80 79 21 60 41 54 73 14 19
617ec606b2319400078213a6,8 49 21 59 13 30 71 69 51 1 15 33 40 70 55 28 26 5 7 85 3 64 4 29 37 35 61 36 57 79 72 66 83 19 32 50 60 6 53 73 25 23 45 14 62 76 89 24 75 34
617e4e997340280006cc7c42,13 8 15 1 59 40 55 51 4 71 5 69 29 7 72 61 66 50 89 28 27 85 3 9 70 79 53 64 19 16 37 24 35 73 83 6 14 36 57 46 23 33 45 60 49 65 84 21 25 76
5e7609ff9c4b140023a682de,3 40 51 5 59 7 66 71 72 50 4 8 23 6 61 55 1 65 19 37 29 36 83 85 53 13 73 69 25 34 70 35 15 39 57 33 64 78 24 38 77 27 60 79 28 56 45 9 62 54
617ec3341a87ca000710d12f,51 59 66 71 8 50 7 61 40 72 3 55 1 13 4 37 83 57 29 85 5 69 36 33 6 35 70 28 23 64 65 15 53 24 19 45 32 34 79 73 14 39 60 56 76 38 54 41 16 27
5f76c59b49fac44216498699,13 8 4 40 5 69 59 51 70 15 55 1 3 71 61 73 19 72 27 28 7 85 24 50 9 66 79 53 6 23 45 64 36 37 29 89 21 14 35 46 49 83 16 25 60 57 47 33 56 30
617ed3125833170007feaf2d,4 13 8 40 5 27 59 51 69 1 55 15 70 3 71 24 9 7 61 28 73 85 19 72 50 6 37 79 23 64 36 29 45 66 14 53 46 89 83 35 16 57 60 25 33 21 49 47 56 65
617ed802b231940007823531,8 69 70 13 55 59 1 64 71 28 51 15 4 40 85 45 29 5 7 61 37 3 79 24 72 35 50 83 66 76 33 16 14 6 23 57 36 27 9 60 63 73 53 47 49 84 75 21 19 46
